project_name,starting_date,completion_date,fund_acronym,theme_name,total_amount,eu_cofinancing_amount,project_description,beneficiary_nuts_region,beneficiary_name,beneficiary_address,beneficiary_postal_code,beneficiary_city,amount,amount_kind,approval_date,beneficiary_country,beneficiary_country_code,beneficiary_county,beneficiary_id,beneficiary_nuts_code,beneficiary_person,beneficiary_url,cci_program_code,currency,eu_cofinancing_amount_eligible,eu_cofinancing_rate,final_payment_date,first_payment_date,funding_period,management_authority,member_state_amount,operational_programme,priority_label,priority_number,project_status,source,theme_code,third_party_amount,total_amount_applied,total_amount_eligible
ITS Platform Nordjylland,2010-01-15,2014-03-31,ERDF,Innovation og videndeling,32593160.53,9140124,"Projektet skal udvikle en markedsledende IT platform til Intelligente Transport Systemer (ITS). Platformen baseres på en dybtgående viden om mobilkommunikation, databaser og tracking hos de deltagende firmaer og på en lang række forskningsresultater på AAU. Platformen kommer til at bestå af en elektronisk enhed, som kan bestemme en bils geografiske position, kurs og hastighed. Den elektroniske enhed udvikles dedikeret til denne platforms krav og vil bl.a. komme til at indeholde funktionaliteter, der gør det muligt at benytte platformen til funktionaliteter, der indebærer økonomiske transaktioner. Der udvikles også en ny digital vejinfrastruktur, hvortil oplysningerne om bilerne adfærd knyttes og endelig udvikles en ITS server til sikker indsamling, håndtering og videreformidling af data fra enhederne, fx til PBS hvis det handler om betaling. Platformen vil generelt kunne bruges til at teste og udvikle ITS systemer, og det er forventningen, at både offentlige myndigheder og private aktører vil være interesseret i at benytte platformen hertil, når platformen er etableret. Et aktuelt eksempel herpå kunne være et demonstrationsprojekt omkring de GPS baserede kørselsafgifter, som blev vedtaget i det seneste trafikforlig. Det forventes også, at platformen kan bruges som springbræt for nordjyske virksomheder og offentlige myndigheders deltagelse i projekter indenfor EU¿s forskellige rammeprogrammer, hvor der ofte er fokus på ITS løsninger. For at give platformen en kickstart udvikles i projektet en række demonstrationsprojekter, der anvender platformen og stiller information til rådighed for borgere og myndigheder. Demonstrationsprojekterne inkluderer en personligt tilpasset realtidstrafikinformation om trængsel på vejene og en personlig kørselslog, hvor brugerne fx kan få en kørebog til skat og en øko- og en risikoprofil over deres kørsel. Der vil også blive udviklet en demo på en parkeringsapplikation, så brugerne ikke længere behøver at trække billet, når de parkerer, applikationen udregner automatisk prisen og sender oplysningerne til PBS. Endelig vil der blive udviklet en trafikstatistik applikation, som kortlægger såvel lokaliteter med trængsel som trængselsafhængige rejsetider og lokaliteter med hastighedsovertrædelser. Disse oplysninger kan bruges af offentlige myndigheder, men også af private aktører, der fx udvikler ruteplanlægnings- og flådestyringssystemer.Der er i dag en spirende ITS-klyngedannelsen i Nordjylland baseret på afskallinger fra den nordjyske mobilkommunikationsklynge og forskningsgrupper på AAU. Dette projekt vil klart styrke denne klyngedannelse, og da ITS anses for at være et af de hastigst voksende områder indenfor ITK har klyngen potentiale til at blive en klynge på niveau med mobilkommunikationsklyngen.Projektet vil skabe 15-25 jobs i løbet af de næste 3 år og 100-200 jobs indenfor et 5årigt sigte.",DANMARK,Aalborg Universitet,Fredrik Bajers Vej 5,9220,Aalborg Øst,1222290.345043586903168386648,eu_cofinancing_amount,,DANMARK,DK,,Aalborg universitet,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Welfare Tech Region - Produktudvikling,2010-01-04,2013-03-31,ERDF,Anvendelse af ny teknologi,32623946.68,14843797.46,"Formål: Region Syddanmark arbejder hårdt for at vende tilbagegangen i beskæftigelsen. Desuden arbejdes derpå at sikre, at regionen får tilgang af nye erhverv med høj produktivitet. De strategiske mål er at fastholde den nuværende indkomstvækst på 4 % og øge værditilvæksten fra 1,2 % til 2 %. En massiv syddansk satsning på udvikling af velfærdsteknologi besidder potentialet til at understøtte denne målsætning. Formålet med Welfare Tech Region projektet er at skabe dette omdrejningspunkt for den erhvervsfremmende indsats. Derved kan visionen om at gøre Region Syddanmark til et internationalt kraftcenter for velfærdsteknologi realiseres. Målsætning: Som konsekvens af Welfare Tech Region projektet vil der blive skabt værditilvækst i eksisterende virksomheder, der vil blive skabt nye virksomheder, og et arbejdskraftbesparende potentiale på social og sundhedsområdet vil blive realiseret. Dette vil ske via en indsats på specielt tre vækst-skabende parametre: ¿ Vækst i private virksomheders investeringer i forskning og udvikling. Forventet effekt på 110 mio.kr. efter 3-5 år. ¿ Flere produkt- og /eller procesinnovative virksomheder. Forventet effekt på ca. 170 virksomhederefter 3-5 år. ¿ Vækst i omsætning af nye produkter som andel af virksomhedernes samlede omsætning. Forventeteffekt på ca. 250 nye velfærdsteknologiske produkter. Mål for antal nye jobs og virksomheder: I løbet af projektperioden vil der desuden blive skabt 500 nye arbejdspladser og 50 nye virksomheder. I løbet af en ti-årig periode er det målet at skabe 5000 nye arbejdspladser og 300 nye virksomheder. Hovedaktiviteter: Der indgår hele 60 private og offentlige parter i Welfare Tech Region projektet, fra hele RegionSyddanmark. Alle partnere vil, via deres indsats, sikre, at visionen kan realiseres. Dette vil ske via to stærke typer indsatser: Produktudviklingsprojekter og tværgående projekter. Dette projekt forholder sig til de produktudviklende projekter, Se projektet ""WTR - tværgående projekter"" for at få en samlet projektbeskrivelse.",DANMARK,Foreningen Welfare Tech Region,Forskerparken 10 A,5230,Odense M,1985031.091387876013776198625,eu_cofinancing_amount,,DANMARK,DK,,Foreningen region tech welfare,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Fra Ufaglært til Faglært på Rekordtid,2012-01-02,2015-03-31,ESF,Udvikling af menneskelige ressourcer,32826189.98,13306053.41,"¿Fra ufaglært til faglært på rekordtid¿ er udtryk for en ambition om at sikre langt flere af regionens ufaglærte en erhvervsuddannelse. Projektet skal yde et markant bidrag til at opkvalificere arbejdsstyrken til nye jobmuligheder og dermed øge regionens konkurrenceevne. Målene er ¿ at udvikle og implementere en turbomodel for opnåelse af faglært status via en grundlæggende voksenuddannelse (GVU); ¿ at uddannelsesinstitutionerne i Region Hovedstaden gennemfører hurtigere og bedre erhvervsuddannelser for flere ufaglærte,¿ at opbygge en sådan viden og kompetence i uddannelsessystemet, beskæftigelsessystemet og blandt arbejdsmarkedets parter, at resultaterne fastholdes og udnyttes i fremtiden.Ambitionen realiseres via en række innovationsaktiviteter og aktionsforskning i et netværk rettet mod udvikling af den nye model for GVU, herunder kompetencevurderinger og visitation af ufaglærte samt planlægning og gennemførelse af GVU-forløbene. Netværket opbygges udover de deltagende uddannelsesinstitutioner blandt virksomheder, jobcentre, A-kasser, arbejdsmarkedets parter og øvrige aktører, hvorigennem kontakten til målgruppen skabes og en varig og øget efterspørgsel på GVU¿en understøttes. Efter afprøvning og justering af innovationsarbejdets resultater, forankres de nye metoder, redskaber og skabeloner først hos projektets uddannelsesinstitutioner og netværksdeltagere, derefter blandt regionens øvrige aktører indenfor uddannelse og beskæftigelse.",DANMARK,CPH WEST Uddannelsescenter København Vest,Vejlebrovej 45,2635,Ishøj,1789843.346966342843453367240,eu_cofinancing_amount,,DANMARK,DK,,Cph kobenhavn uddannelsescenter vest west,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
KLAR - kompetent læring af regionen,2008-01-01,2012-02-29,ESF,Udvikling af menneskelige ressourcer,33005624.35,16240743,"Projektet indebærer etableringen af fem kompetencecentre, som knyttes sammen i et regionalt netværk med tilsammen 20 uddannelsesinstitutioner. Målsætningen er, at disse kompetencecentre - samlet set - skal kunne tilbyde regionens virksomheder en helhedsorienteret ydelse, som ikke tager afsæt i de enkelte uddannelsesinstitutioners begrænsede ressourcer, med derimod i virksomhedens samlede uddannelsesbehov. Som minimum vil der indgå 25 virksomheder i projektets udviklingsarbejde. Men den ambitiøse målsætning er, at resultaterne af dette udviklingsarbejde dels skal have en oplevet betydning for alle indgåede virksomhedsaftaler i det sidste projektår - og dels betyde, at der ved projektafslutningen kan registreres en klar vækst i antallet af indgåede virksomhedssamarbejder, sammenholdt med projektstarten. Konkret opereres der således med at gennemføre mere end 6000 kursusdage i projektperioden, hvor der sker en afprøvning og implementering af de redskaber og metoder, som udvikles med projektet.Som del af dette tværgående samarbejde indebærer projektet også en tværinstitutionel udvikling og opkvalificering af medarbejdere - fra de deltagende uddannelsesinstitutioner - med virksomhedsopsøgende funktioner.",DANMARK,Selandia Center for Erhvervsrettet Uddannelse,Bredahlsgade 1B,4200,Slagelse,2161259.250441149955415193196,eu_cofinancing_amount,,DANMARK,DK,,Center erhvervsrettet for selandia uddannelse,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
WTR - tværgående projekter,2010-01-25,2013-04-30,ERDF,Anvendelse af ny teknologi,33218940.21,16609470.11,"Formål: Region Syddanmark arbejder hårdt for at vende tilbagegangen i beskæftigelsen. Desuden arbejdes derpå at sikre, at regionen får tilgang af nye erhverv med høj produktivitet. De strategiske mål er at fastholde den nuværende indkomstvækst på 4 % og øge værditilvæksten fra 1,2 % til 2 %. En massiv syddansk satsning på udvikling af velfærdsteknologi besidder potentialet til at understøtte denne målsætning. Formålet med Welfare Tech Region projektet er at skabe dette omdrejningspunkt for den erhvervsfremmende indsats. Derved kan visionen om at gøre Region Syddanmark til et internationalt kraftcenter for velfærdsteknologi realiseres. Målsætning: Som konsekvens af Welfare Tech Region projektet vil der blive skabt værditilvækst i eksisterende virksomheder, der vil blive skabt nye virksomheder, og et arbejdskraftbesparende potentiale på social og sundhedsområdet vil blive realiseret. Dette vil ske via en indsats på specielt tre vækst-skabende parametre: ¿ Vækst i private virksomheders investeringer i forskning og udvikling. Forventet effekt på 110 mio.kr. efter 3-5 år. ¿ Flere produkt- og /eller procesinnovative virksomheder. Forventet effekt på ca. 170 virksomheder efter 3-5 år. ¿ Vækst i omsætning af nye produkter som andel af virksomhedernes samlede omsætning. Forventet effekt på ca. 250 nye velfærdsteknologiske produkter. Mål for antal nye jobs og virksomheder: I løbet af projektperioden vil der desuden blive skabt 500 nye arbejdspladser og 50 nye virksomheder. I løbet af en ti-årig periode er det målet at skabe 5000 nye arbejdspladser og 300 nye virksomheder. Hovedaktiviteter: Der indgår hele 60 private og offentlige parter i Welfare Tech Region projektet, fra hele RegionSyddanmark. Alle partnere vil, via deres indsats, sikre, at visionen kan realiseres. Dette vil ske via to stærke typer indsatser: Produktudviklingsprojekter og tværgående projekter. Dette projekt forholder sig til de tværgående delprojekter, der specifikt forholder sig til udvikling af nye produkter og services indenfor et af 4 identificerede syddanske styrkeområder, nemlig robot/automation, telemedicin, intelligente hjælpemidler og IT. Delprojekter, der på tværs af styrkeområderne skaber nye produkter og services, eller skabersynlighed om regionen som internationalt kraftcenter for velfærdsteknologi. Se projektet ""Welfare Tech Region - Produktudvikling"" for at få en samlet projektbeskrivelse.",DANMARK,Foreningen Welfare Tech Region,Forskerparken 10 A,5230,Odense M,2221150.933153975079042995733,eu_cofinancing_amount,,DANMARK,DK,,Foreningen region tech welfare,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Udvikling med udsigt,2009-06-01,2013-04-30,ESF,Udvikling af menneskelige ressourcer,34048294.78,17023651.54,"Formålet med projektet ¿Udvikling med Udsigt¿ er at udvikle og implementere en ny opkvalificeringsmodel, der skal løfte uddannelsesniveauet hos den lavest uddannede del af befolkningen i Region Hovedstadens nordligste randområde. Det skal ske ved lokal etablering, udvikling og udbud af tekniske erhvervsuddannelser. Derved skal markant flere ledige og ufaglærte i beskæftigelse opnå formel erhvervskompetence, og unge fra områdets afgangsklasser skal kunne fortsætte direkte i et uddannelsesforløb efter folkeskolen i eget lokalområde.Udviklingen af opkvalificeringsmodellen vil foregå ved hjælp af brugerdreven innovation for derved at sikre, at indholdet i opkvalificeringsmodellen målrettet adresserer behovene for uddannelse hos de involverede målgrupper og erhvervslivet.Opkvalificeringsmodellen realiseres via tre overordnede indsatsområder:1. Etablering af lokale uddannelsessteder i de fire kommunerSucceskriterierne for dette indsatsområde er, at der¿ indenfor projektperioden (tre år) etableres et lokalt uddannelsessted i hver af de fire kommuner, hvor der kan udbydes mindst to forskellige indgange til de tekniske erhvervsuddannelser, herunder at der mindst ét sted etableres mulighed for uddannelse indenfor teknisk turismeservice.¿ senest to år efter projektets afslutning kan udbydes mindst tre forskellige indgange indenfor erhvervsuddannelserne i hver kommune.2. Forankring i et bredt partnerskab med deltagelse af offentlige og private virksomheder, arbejdsmarkedets parter, job- og vejledningscentre samt uddannelsesinstitutionerSucceskriterierne for denne indsats er, at:- partnerskabet sikrer visitation af elever og godkendelse af lærepladser til de lokalt udbudte, tekniske erhvervsuddannelser.- partnerskabet videreføres efter projektets afslutning og sikrer fortsat visitation af elever og godkendelse af lærepladser til de lokalt udbudte erhvervsuddannelser.3. Udvikling af uddannelser baseret på brugerdreven innovationSucceskriterierne for denne indsats er, at der- i projektperioden gennemføres 600 erhvervsuddannelsesforløb med afsluttende bevis.- senest to år efter projektets afslutning gennemføres 250 erhvervsuddannelsesforløb med afsluttende bevis årligt.",DANMARK,Erhvervsskolen Nordsjælland,Milnersvej 48,3400,Hillerød,2281352.533640913674290959245,eu_cofinancing_amount,,DANMARK,DK,,Erhvervsskolen nordsjaelland,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Modtagelse og Fastholdelse af Udenlandsk Arbejdskraft II,2011-10-17,2015-12-31,ESF,Udvikling af menneskelige ressourcer,34204182.29,17040000,"Formål: Projektet skal bidrage til styrke Region Midts position i en global kontekst i forhold til at øge virksomhedernes konkurrenceevne samt optimere virksomhedernes muligheder for vækst. Projektet vil desuden arbejde med integration af medfølgende familie og af udenlandsk arbejdskraft uden for arbejdstiden samt modning af lokalsamfundet til mere global åbenhed. Hovedaktiviteter: Baseret på opsamlet viden og målgruppernes behov vil projektet have fokus på aktiviteter på lokal såvel som regional plan inden for: 1. Professionelle og sociale netværk for målgrupperne samt virksomheder. 2. Aktivering af den udenlandske arbejdskrafts medfølgende ægtefælle ¿ netværksdannelse, karriere og iværksætteri. 3. Offentlige borgerservice ¿ information, effektivisering af processer samt erfaringsudveksling. 4. Integration i lokalsamfundet ¿ formidling af lokale tilbud samt samarbejde med lokale foreninger. 5. Markedsføring ¿ nyhedsformidling samt profilering af projektet. Effekt: Projektets resultat er en bred geografisk forankret, samlet, koordineret indsats for Region Midt med værdi for både virksomheder, offentlige institutioner og samfundet. Desuden skal projektets aktiviteter bidrage til at: - Region Midt i 2030 er en international vækstregion i et sammenhængende Danmark. - Arbejdsstyrken skal stige fra 665.000 til 700.000 og andelen af udenlandske borgere med opholdsgrundlag til erhverv skal udgøre 1,5% af befolkningen. - Opfylde Region Midts mål for globalisering.",DANMARK,Erhverv Århus,Nordhavnsgade 4,8000,Århus C,2280713.868743280194895106661,eu_cofinancing_amount,,DANMARK,DK,,Arhus erhverv,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Accelerace Management A/S,2009-01-01,2015-01-31,ERDF,Etab. og udvikling af nye virksomh.,34500000,5000000,"Accelerace er et kundetilpasset, internationalt og aktionsorienteret udviklingsforløb, der skal give ideer, projekter og tidlige opstartsvirksomheder indsigt i kunder, markeder og konkurrenter. Dette sker med henblik på at sætte dem i stand til, bedre at finde de første rigtige kunder og udvikle produktet og dermed halvere tiden til entry på markedet, reducere udviklingsomkostningerne og gøre det nemmere at tiltrække investorer, kunder eller partnere. De deltagende virksomheder vil som led i forløbet blive introduceret til internationale kunder og netværk, til investorer og partnere, der kan bidrage med den videre udvikling af ideen/virksomheden. Virksomhederne vil udvikle en præcis handlingsplan for, hvordan produktet tages til marked, til investorer eller til udviklingspartnere. Som en integreret del af forløbet, vil virksomhederne blive tilbudt finansiering til at gennemføre markedsafprøvningen. Forløbet bygger på en bred inddragelse af eksisterende aktører på iværksætterområdet. Det drejer sig om universiteter, Væksthus Hovedstadsregionen/Copenhagen Innovation Center, Vækstfonden, SCION/DTU mv. Disse parter vil deltage direkte i forløbet og udviklingen heraf. Herudover bygger modellen på, at aktørerne bidrager med viden, kompetencer og indsigt i forhold til de enkelte virksomheder. Samtidig vil aktørerne få meget ud af at deltage i form af nye metoder, internationalt netværk, indsigt i markeder mv., som kan bruges i forhold til deres arbejde med konkrete virksomheder før og efter forløbet. Ambitionen er, at der gennem udviklingen og implementeringen udvikles et fælles sprog, en fælles forståelse af, hvad der skal til for at skabe vækstvirksomheder mv., som kan styrke den samlede infrastruktur og gøre overgangene mellem de forskellige led infrastrukturen nemmere for iværksættere.Udover 50 mio. kr. fra regionen har projektet fået tilsagn om ca. 50 mio. kr. fra bl.a. Vækstfonden og Symbion / IT-Væksthuset. Det samlede budget for projektet udgør dermed ca. 100 mio. kr. Gennem projektet vil mere end 150 iværksættere, projekter eller ideer indgå. Se også projektet CIBIT ""Accelerace Invest"", som er investeringsdelen af projektet.",DANMARK,Accelerace Fonden,Fruebjergvej 3,2100,København Ø,671575.6617899999725285198338,eu_cofinancing_amount,,DANMARK,DK,,Accelerace fonden,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Center for Pervasive Healthcare 2.0 (CfPH2.0),2008-03-10,2012-10-31,ERDF,Innovation og videndeling,34661776.02,17253892,"I 2002 blev Center for Pervasive Healthcare, CfPH, oprettet i IT Byen Katrinebjerg af Aarhus Universitet i samarbejde med Alexandra Instituttet på baggrund af et forarbejde lavet af Århus-regionens IT-råd. Centeret har i de forløbne fem år skabt resultater til gavn for klinik, forskning og industri gennem tværfagligt samarbejde og brugerinddragelse. CfPH har gradvist udvidet det tværfaglige samarbejde gennem forskningsprojekter til stor gavn for fagområdets formål. Vi har således allerede gode erfaringer med at skabe tværfaglige miljøer med involvering af eksempelvis industri, klinikere, borgere, patienter/pårørende, dataloger, arkitekter, antropologer og senest ingeniører. Alle forsknings- og udviklingsbaserede aktiviteter i CfPH er således baseret på høj involvering af brugerne, også kaldet ¿forskningsbaseret brugerdrevet innovation¿ (participatory design).Det hidtidige arbejde har imidlertid fokuseret på forskning og i et vist omfang på ¿proof-of-concept¿ samt udvikling af prototyper. Det har derimod ikke været muligt at skabe en dedikeret indsats rettet mod kommercialisering og implementering af løsninger i sundhedsvæsenet. Formålet med nærværende ansøgning er at supplere det hidtidige fokus med en indsats fokuseret på erhvervsudvikling. Denne type indsats kan ikke finansieres af de sædvanlige kanaler for forskning og udvikling og nærværende ansøgning kan derfor skabe en unik, ny mulighed for erhvervsmæssig udvikling inden for sundhedssektoren. Alle projekter i CfPH 2.0 vil følge den samme projektmodel for forretningsgørelse og implementering af produkter og services. Modellens formål er at sikre en veldefineret proces fra forskning og udvikling, pilotdrift til endelig kommercialisering og idriftsættelse. Dette er uddybet i bilag 2 vedr. Projektmodel samt bilag 5 vedr. Casebeskrivelse. Derudover er modellen en generel projektmodel for centrets projekter.",DANMARK,Alexandra Instituttet A/S,Åbogade 34,8200,Århus N,2319065.215219184923422401923,eu_cofinancing_amount,,DANMARK,DK,,A alexandra instituttet s,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Next Generation - højtuddannede iværksættere og intraprenører i Region Hovedstaden,2010-01-01,2013-12-31,ESF,Udvikling af menneskelige ressourcer,35252448.68,17417462.95,"""Next Generation - højtuddannede iværksættere og intraprenører i Region Hovedstaden"" er en samlet strategisk indsats for at udbrede foretagsomhedskultur på universiteter, styrke de studerendes kompetencer inden for entrepreneurship (innovation, intrapreneurship og iværksætteri) og øge antallet af studerende, der starter egen virksomhed. Next Generation bygger videre på den positive udvikling, der allerede er i gang og videreudvikler, udbreder og udbygger en række nye og tværgående initiativer.Projektet bidrager til erhvervsudviklingsstrategiens implementering inden for Indsatsområde 2: Nye virksomheder - ny viden. Projektet omfatter:1. Viden, fag og kurser. Målet er at opskalere og styrke studerendes og underviseres entreprenante skills og mind-set. Dette vil ske ved at implementere praksisnære innovationsmetoder i den traditionelle universitetsundervisning, for derved at nå en ny og langt større gruppe af universitetsstuderende og undervisere. Mere end 1.200 studerende vil møde innovativ didaktik.2. Awareness. Delprojektet vil skabe større bevidsthed og opmærksomhed blandt studerende og undervisere over for innovation, intrapreneurship og perspektiverne i at skabe nye virksomheder ud fra forskningsbaseret viden. Herved øges efterspørgsel blandt studerende efter entrepreneurship-fag og -kurser. Awareness-aktiviteterne vil også omfatte profilering af resultaterne fra Next Generation i en international sammenhæng samt bredere formidlende aktiviteter. Mere end 4.000 studerende samt en bredere kreds af beslutningstagere mv. forventes at deltage i aktiviteterne.3. Tværfagligt elite-underviser korps. Der etableres et elitekorps af 18 undervisere inden for entrepreneurship. Disse vil udgøre et netværk på tværs af universiteter og fakulteter og bliver en drivkraft i udvikling og gennemførelse af innovativ universitetspædagogik og entrepreneurship-undervisning.4. Fra universitet til marked. Delprojektet indeholder aktiviteter, der vil hjælpe de studerende med modning, realisering og kommercialisering af deres idéer til vidensbaserede virksomheder i den tidlige fase. 81 studenterprojekter vil få økonomisk, praktisk og rådgivningsmæssig støtte til virkeliggørelse.Det er unikt, at flere universiteter og uddannelsesområder samt så mange aktører rundt om universiteterne arbejder aktivt sammen om at løfte en fælles målsætning om styrkelse af entrepreneurship på regionens universiteter. Alene den styrke, dette partnerskab udgør som forum for fælles udvikling, erfaringsudveksling og nedbrydning af barrierer, udgør en væsentlig del af projektets merværdi.Next Generation har sin største nyhedsværdi i den afgørende placering, som gives til udvikling af innovativ universitetspædagogik og underviseres kompetencer i at anvende denne pædagogiske tilgang inden for alle fagdicspliner. Det nye er bl.a., at der opbygges innovative kurser og workshops inden for disciplinære fagligheder, og som indgår i den ordinære undervisning.",DANMARK,Københavns Universitet,Nørregade 10,1165,København K,2329202.185762402241046249707,eu_cofinancing_amount,,DANMARK,DK,,Kobenhavns universitet,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Copenhagen Finance IT Region 2009-2013,2009-10-01,2015-03-31,ERDF,Innovation og videndeling,35257014.54,17604059.03,"Copenhagen Finance IT Region (CFIR) er et langsigtet klyngeudviklingsprojekt, der skal udvikle en af Hovedstadsregionens store styrker - krydsfeltet mellem finans- og it. Selvom finans- og it-sektorerne er nogle af de største og mest værdiskabende sektorer i Hovedstadsområdet har der hidtil ikke været initiativer, der samler de to sektorer og systematisk arbejder for at udvikle potentialet for klyngeudvikling, innovation og vækst. CFIR vil fremme det innovative samspil mellem vidensinstitutioner, det offentlige og virksomheder på tværs af sektorerne og være med til at skabe flere højværdiarbejdspladser og bedre rammevilkår for erhvervsudviklingen. CFIR er sat i værk af et bredt partnerskab af finans- og it-aktører bestående af erhvervs- og lønmodtagerorganisationer (DI ITEK, IT-Branchen, HK, DJØF, Dansk Metal, PROSA og Finansforbundet), vidensinstitutioner (KU, CBS, ITU og Aarhus School of Business), Copenhagen Capacity og Øresund IT med Finansrådet som lead partner. CFIR drives og udvikles af et sekretariat, der ved periodens udløb skal være en selvbærende klyngeorganisation. Til det samlede initiativ budgetteres med et beløb på 37,5 mio. kr. over 4 år, hvoraf 25 pct. er egenfinansiering fra partnerne, 25 pct. er finansiering fra Vækstforum Hovedstaden og 50 pct. fra EU's Regionalfond.CFIR har særligt fokus på de danske styrkepositioner som Oxford Research har dokumenteret - it-sikkerhed, investeringssoftware, procesoptimering, brugervenlighed og mobile banking. Projektet udmøntes i en række aktiviteter indenfor indsatsområderne: teknologi, talent og synlighed. Konkret skal en række projekter søsættes herunder netværkskabende aktiviteter, innovations- og vækstforløb, samarbejde mellem forskere og virksomheder, analyse af sektorens kompetencebehov, konferencer, og international relationsopbygning. CFIRs største underprojekt er det ""kontantløse samfund"" med et budget på 13 mio. kr., hvor visionen er at udvikle Danmarks unikke muligheder for at blive det første kontantløse samfund. CFIRs langsigtede effekter forventes at blive en relativt forbedret konkurrenceevne i en af Hovedstadsregionens største erhvervsklynger og relativt forbedrede rammevilkår for regionens øvrige erhvervsliv.",DANMARK,Finansrådet,Amaliegade 7,1256,København K,2364275.395063316753721239516,eu_cofinancing_amount,,DANMARK,DK,,Finansradet,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Nordjysk Innovationscenter for Luftfarts teknologi,2010-10-01,2014-12-31,ERDF,Innovation og videndeling,35300000,2329800,"Flytransport af passagerer har et voldsomt kvalitetsproblem, hvad angår bagagehåndtering. Problemet er stort, idet gennemsnitligt ca. 1% af al bagage er ramt af fejl. Problemerne koster på verdensplan i gennemsnit 3.100.000.000 USD pr. år. Tallet svarer til prisen på ca. 50 Boing 737-800 fly hvert år. Projektets hovedformål er at måle bagagehåndteringsproblemerne meget detaljeret og dermed få fastlagt årsager og ansvarlige så nøjagtigt, at der kan udarbejdes og anvises løsninger. Målsætningen er at anvise løsninger, der halverer problemets samlede størrelse. Hovedaktiviteter: Projektet etablerer et netværk af ruter omkring nogle større og mindre lufthavne i Norden. Dette netværk benyttes til at undersøge bagageproblemerne og til at udvikle de nødvendige værktøjer og løsninger.En stor del af problemerne stammer fra ekstremt mange ansvarsskift på en rejse. Branchens struktur betyder, at bagagen håndteres af mange parter.På en rejse bestående af 2 flyvninger kan der være tale om: Check-in, Handler i 1. Lufthavn, 1. Lufthavn, 1. Flyselskab, 1. Handler i 2. Lufthavn, Sortering, Told, Security, 2. Handler i 2. Lufthavn, 2. Flyselskab, 1. Handler i 3. Lufthavn, Sortering, Udlevering, Told og Security. Det er altså meget kompliceret med mange parter, som i mange tilfælde arbejder meget uafhængigt med problemer til følge.Der opbygges og installeres et RFID-baseret målesystem, der kortlægger problemerne fordelt på parterne i netværket. Der laves analysesoftware, som redegør nærmere for problemerne. Der udarbejdes metoder til kvalitetsbestemt afregning med de forskellige parter.Der udarbejdes forslag til løsning af de væsentligste problemer.Forventede effekter: Problemerne for deltagerne forventes over 3 - 5 år halveret. Herefter vil yderligere problemer blive løst over en lidt længere periode. Nordjylland får udviklet et eksportpotentiale i form af salg af viden og værktøjer til måling og forbedring af bagagekvalitet. Endvidere opbygges en betydelig viden hos parterne i projektet. Denne viden har en betydelig værdi henset til problemets meget betydelige økonomiske størrelse. Der skabes nye nordjyske arbejdspladser for ingeniører og andre videnarbejdere. Projektet vil skabe en ny forretningsaktivitet i Nordjylland, hvor budgetteret omsætning efter 5 år er 100 mio. kr. Antallet af nye beskæftigede i regionen vil være i alt 70.",DANMARK,Aalborg Lufthavn,Lufthavnsvej 100,9400,Nørresundby,313270.5823676880229455843363,eu_cofinancing_amount,,DANMARK,DK,,Aalborg lufthavn,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Skovnæs Kartofler ApS,2012-07-01,2013-08-01,ERDF,Innovation og videndeling,35808432.98,9835500,"Baggrunden for dette projekt er en forarbejdningsvirksomhed læggekartofler, hvor vi opbevarer, tørrer, sorterer, pakker og afsætter læggekartofler. Det er danmarks næststørste virksomhed af sin art. Vi forarbejder 10.000 tons kartofler årligt til eksport og har 7 ansatte. Vi ønsker at etablere os i nye rammer, idet vi ønsker at gennemføre en fuldstændig omlægning af produktionsmetoderne. Omlægningen vil betyde nye energibesparende, innovative produktionsprocesser og indførelse af den sidste nye teknik, der findes på markedet. Produktionen vil dermed blive det første anlæg af sin art i Danmark og det er forventningen, at vi opnår adgang til nye markeder. Omlægningen vil indebære en udvidelse ift. nuværende produktion og flere ansatte till følge. Det er ikke muligt at indføre omlægningen i eksisterende rammer, dels fordi disse ikke er store nok og dels fordi den eksisterende adresse vil blive nedlagt/eksproprieret i 2013 grundet femern bælt forbindelsen. Derfor har vi fundet en ny adresse i Maribo, hvor vi ønsker at etablere en ny virksomhed (med nyt cvr nr.) i helt nye rammer. Projektet omfatter investeringer i bygningsmasse samt indretning til produktion.",DANMARK,Skovnæs kartofler ApS,Strandholmsvej 17,4970,Rødby,1323114.113219429935672244447,eu_cofinancing_amount,,DANMARK,DK,,Aps kartofler skovnaes,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
